genericName,SynNames
Lepirudin,"[Leu1, Thr2]-63-desulfohirudin "
Cetuximab,Cetuximab 
Dornase alfa,Deoxyribonuclease (human clone 18-1 protein moiety) 
Denileukin diftitox,Denileukin 
Etanercept,Etanercept 
Bivalirudin,Bivalirudin 
Leuprolide,Leuprorelin 
Peginterferon alfa-2a,PEG-IFN alfa-2A 
Alteplase,Alteplasa 
Sermorelin,Sermorelin
Interferon alfa-n1,Interferon alfa-n1 
Darbepoetin alfa,Darbepoetin 
Urokinase,"Kinase (enzyme-activating), uro-urokinase "
Goserelin,Goserelin 
Reteplase,Human t-PA (residues 1-3 and 176-527) 
Erythropoietin,E.P.O. 
Salmon calcitonin,Calcitonin (Salmon Synthetic) 
Interferon alfa-n3,Interferon alfa-n3
Pegfilgrastim,Granulocyte colony-stimulating factor pegfilgrastim 
Sargramostim,Recombinant human granulocyte-macrophage colony stimulating factor 
Peginterferon alfa-2b,Peginterferon alfa-2b
Asparaginase Escherichia coli,Asparaginase 
Thyrotropin alfa,Recombinant Human Thyroid Stimulating Hormone 
"Antihemophilic factor, human recombinant",Antihemophilic factor (recombinant) 
Anakinra,Anakinra 
Gramicidin D,Bacillus brevis gramicidin D 
Human immunoglobulin G,Aerosolized pooled immune globulin 
Anistreplase,Anisoylated plasminogen streptokinase activator complex 
Insulin human,High molecular weight insulin human 
Tenecteplase,Tenecteplasa 
Menotropins,Human menopausal gonadotrophin 
Interferon gamma-1b,IFN-gamma 1b 
Interferon alfa-2a,Interferon alfa-2a 
Desmopressin,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin 
Coagulation factor VIIa Recombinant Human,Coagulation factor VIIa 
Oprelvekin,IL-11 
Palifermin,24-163 fibroblast growth factor 7 (human) 
Glucagon,Glucagon 
Aldesleukin,125-L-serine-2-133-interleukin 2 (human reduced) 
Botulinum toxin type B,Botulin B 
Omalizumab,Omalizumab
Lutropin alfa,Lutropin alfa 
Lyme disease vaccine (recombinant OspA),Lipoprotein OspA antigen recombinant 
Insulin lispro,Insulin lispro 
Insulin glargine,Insulin glargine 
Collagenase clostridium histolyticum,Clostridiopeptidase A 
Rasburicase,Rasburicasa 
Cetrorelix,Cetrorelix 
Adalimumab,Adalimumab 
Somatotropin,Growth hormone 
Imiglucerase,Imiglucerasa 
Abciximab,Abciximab 
Drotrecogin alfa,Activated protein C 
Gemtuzumab ozogamicin,Gemtuzumab ozogamicin
Indium In-111 satumomab pendetide,Indium (111In) satumomab pendetide 
Alpha-1-proteinase inhibitor,.Alpha.-1 protease inhibitor 
Pegaspargase,Peg-asparaginase 
Interferon beta-1a,Interferon beta 1-a 
Pegademase,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase 
Albumin human,Albumin (human) 
Eptifibatide,Eptifibatida 
Infliximab,Infliximab 
Follitropin,Folitropina alfa 
Vasopressin,"Vasopressin, unspecified "
Interferon beta-1b,Interferon beta 1b (recombinant) 
Interferon alfacon-1,IFN Alfacon-1 
Hyaluronidase (ovine),"Hyaluronidase (glycoprotein, sheep testis isoenzyme) "
Insulin pork,Insulin (pork) 
Trastuzumab,RHUMAB HER2 
Rituximab,Rituximab 
Basiliximab,Basiliximab
Muromonab,Anti-CD3 
Digoxin Immune Fab (Ovine),Digitalis antitoxin 
Ibritumomab tiuxetan,Ibritumomab 
Daptomycin,Daptomicina 
Tositumomab,Tositumomab
Pegvisomant,Pegvisomant
Botulinum toxin type A,AbobotulinumtoxinA 
Pancrelipase,Pancrealipase 
Streptokinase,Estreptoquinasa 
Alemtuzumab,Alemtuzumab
Alglucerase,Alglucerase
Capromab pendetide,(111In)-Capromab pendetide 
Laronidase,alpha-L-Idosiduronase 
Cyclosporine,Ciclosporin 
Alefacept,Alefacept
Felypressin,2-(L-phenylalanine)-8-L-lysinevasopressin 
Urofollitropin,Follitropin human 
Efalizumab,anti-CD11a 
Choriogonadotropin alfa,Choriogonadotropin alfa 
Antithymocyte immunoglobulin (rabbit),"Anti-human thymocyte immunoglobulin, rabbit "
Filgrastim,Filgrastim 
Coagulation Factor IX (Recombinant),Coagulation factor IX (recombinant) 
Becaplermin,Becaplermin 
Agalsidase beta,Agalsidasa beta 
Octreotide,Octreotida 
Interferon alfa-2b,Interferon alfa-2b 
Abarelix,Abarelix
Oxytocin,Oxitocina 
Natalizumab,Anti-alpha4 integrin 
Enfuvirtide,Enfuvirtida 
Palivizumab,Palivizumab
Daclizumab,Dacliximab 
Bevacizumab,Anti-VEGF Humanized Monoclonal Antibody 
Technetium Tc-99m arcitumomab,Arcitumomab technetium-99m 
